"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 08-Oct-2020","30 D % CHNG 
 08-Sep-2021"
"NIFTY INFRASTRUCTURE","5,124.30","5,133.40","5,087.80","5,087.70","5,122.85","35.15","0.69",180181066,"80,377,534,382.95","28,723.70","3,048.15","64.24","5.58"
"MRF","81,300.00","86,373.45","81,100.10","81,272.55","85,725.95","4,453.40","5.48",54225,"4,561,256,254.50","98,599.95","57,860.05","46.06","7.50"
"RELIANCE","2,585.25","2,684.40","2,581.50","2,572.40","2,669.20","96.80","3.76",7279003,"19,237,021,918.43","2,684.40","1,830.00","19.60","10.13"
"LT","1,740.00","1,741.00","1,720.00","1,712.45","1,729.10","16.65","0.97",1755402,"3,034,668,761.52","1,810.00","876.05","90.09","3.40"
"BALKRISIND","2,569.90","2,588.40","2,545.00","2,551.65","2,576.00","24.35","0.95",424939,"1,090,529,454.48","2,723.80","1,306.30","83.31","5.00"
"INDIGO","1,967.00","1,988.50","1,917.85","1,947.70","1,963.45","15.75","0.81",815674,"1,598,190,851.90","2,307.15","1,253.70","43.54","2.66"
"GRASIM","1,596.00","1,616.80","1,591.65","1,592.00","1,600.00","8.00","0.50",693600,"1,111,119,456.00","1,694.30","733.45","114.58","0.06"
"ONGC","163.90","166.60","160.50","160.40","161.15","0.75","0.47",30561341,"4,975,997,541.62","172.75","64.10","128.95","31.76"
"ADANIPORTS","739.70","747.00","733.50","736.15","738.75","2.60","0.35",2878232,"2,129,718,986.08","901.00","341.15","107.14","-1.31"
"BHARTIARTL","695.15","699.55","688.90","692.50","694.40","1.90","0.27",6297352,"4,378,926,686.72","745.54","390.10","63.57","1.36"
"BPCL","451.50","452.00","444.60","449.20","449.65","0.45","0.10",3009652,"1,350,250,273.28","503.00","325.00","30.28","-8.49"
"AMBUJACEM","404.90","406.00","401.25","402.90","403.20","0.30","0.07",3321119,"1,339,938,671.74","442.50","225.00","68.39","-8.05"
"ULTRACEMCO","7,376.00","7,405.20","7,328.00","7,354.60","7,351.90","-2.70","-0.04",234324,"1,723,961,503.08","8,073.30","4,114.10","70.66","-7.61"
"IGL","521.60","521.80","517.00","519.20","519.00","-0.20","-0.04",906692,"470,165,136.60","602.05","364.10","35.88","-8.13"
"POWERGRID","189.00","190.15","187.00","188.30","188.10","-0.20","-0.11",6123882,"1,153,861,846.44","198.00","115.95","18.80","8.18"
"TATAPOWER","180.15","180.20","175.00","177.75","177.50","-0.25","-0.14",43365657,"7,686,129,046.68","184.75","51.65","224.79","33.22"
"HINDPETRO","323.00","326.75","316.00","319.50","318.60","-0.90","-0.28",3719308,"1,193,265,585.64","326.75","162.90","80.71","18.39"
"IOC","133.55","134.45","130.85","132.25","131.80","-0.45","-0.34",9093264,"1,203,493,490.40","134.90","73.75","72.29","16.84"
"SIEMENS","2,250.00","2,274.80","2,217.00","2,236.95","2,227.80","-9.15","-0.41",296111,"664,413,861.80","2,318.00","1,215.90","73.16","-0.32"
"INDUSTOWER","307.80","311.80","300.20","306.25","304.75","-1.50","-0.49",5746316,"1,758,315,232.84","332.80","175.25","-","25.88"
"ASHOKLEY","136.20","138.00","134.60","135.85","135.00","-0.85","-0.63",13894388,"1,885,607,395.48","143.30","72.00","77.85","7.66"
"GAIL","161.30","162.90","157.65","159.65","158.05","-1.60","-1.00",11727250,"1,871,317,282.50","171.30","81.20","84.54","8.96"
"ACC","2,273.00","2,284.90","2,235.45","2,265.85","2,242.95","-22.90","-1.01",249365,"563,138,485.85","2,509.00","1,432.15","48.68","-8.86"
"PETRONET","231.00","231.75","227.50","230.40","228.00","-2.40","-1.04",4624502,"1,059,010,958.00","275.35","207.25","4.42","-1.64"
"SHREECEM","28,219.20","28,219.20","27,721.95","28,059.35","27,755.00","-304.35","-1.08",29947,"835,066,105.60","32,048.00","20,097.95","30.94","-9.50"
"APOLLOHOSP","4,459.00","4,459.00","4,365.60","4,428.30","4,380.00","-48.30","-1.09",269607,"1,183,981,836.57","5,198.00","1,986.00","92.32","-7.21"
"CONCOR","700.00","701.45","680.05","694.95","686.75","-8.20","-1.18",1845098,"1,270,829,698.48","754.40","355.00","85.20","-7.79"
"NTPC","143.55","143.90","140.30","142.80","140.95","-1.85","-1.30",10686586,"1,511,617,589.70","149.35","78.10","70.21","23.18"
"DLF","423.95","425.40","412.50","422.60","416.05","-6.55","-1.55",7456612,"3,109,481,770.12","431.65","150.60","164.87","24.90"
"RAMCOCEM","1,019.00","1,020.00","990.00","1,014.55","995.35","-19.20","-1.89",197560,"198,188,240.80","1,132.70","746.65","29.02","-5.82"
"GODREJPROP","2,499.00","2,499.80","2,314.30","2,476.80","2,363.00","-113.80","-4.59",2624058,"6,228,070,460.10","2,499.80","835.55","158.50","49.19"
