"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 08-Oct-2020","30 D % CHNG 
 08-Sep-2021"
"NIFTY SERVICES SECTOR","24,905.55","25,037.65","24,838.90","24,796.45","24,880.80","84.35","0.34",150356009,"117,946,391,408.82","28,723.70","4,632.70","56.60","2.33"
"BANDHANBNK","329.00","348.30","328.65","328.55","344.65","16.10","4.90",25700239,"8,783,570,683.03","430.70","259.25","6.25","21.93"
"WIPRO","646.15","667.55","645.00","642.95","661.95","19.00","2.96",11045983,"7,280,076,015.81","699.15","325.50","76.78","-0.18"
"DMART","4,326.40","4,421.95","4,299.05","4,311.70","4,400.00","88.30","2.05",314758,"1,376,282,502.58","4,500.00","1,954.85","114.23","11.58"
"INFY","1,705.25","1,731.50","1,698.40","1,691.00","1,723.85","32.85","1.94",4738376,"8,147,258,461.92","1,788.00","1,035.50","55.75","1.91"
"TECHM","1,418.50","1,447.00","1,418.50","1,417.20","1,440.00","22.80","1.61",2665924,"3,831,625,928.24","1,547.85","781.85","68.58","0.47"
"ZEEL","295.00","299.10","292.25","292.70","297.00","4.30","1.47",11723263,"3,456,017,932.40","362.90","166.80","46.92","61.01"
"HCLTECH","1,306.30","1,338.00","1,294.05","1,306.30","1,323.50","17.20","1.32",5197831,"6,863,112,095.78","1,377.75","800.25","54.50","10.31"
"TCS","3,925.00","3,989.90","3,900.00","3,892.90","3,943.00","50.10","1.29",2934339,"11,584,271,534.37","3,989.90","2,600.05","39.91","3.80"
"NAUKRI","6,655.00","6,878.55","6,631.00","6,600.85","6,665.00","64.15","0.97",633366,"4,286,627,421.66","6,985.00","3,362.65","92.97","-0.21"
"AXISBANK","781.90","785.00","776.00","777.10","781.70","4.60","0.59",4295686,"3,353,727,973.92","820.70","443.50","67.07","-1.04"
"INDUSINDBK","1,179.40","1,180.00","1,158.40","1,166.70","1,172.75","6.05","0.52",2344868,"2,745,019,724.20","1,189.35","571.00","88.49","17.50"
"BAJAJFINSV","17,620.00","17,740.50","17,460.00","17,470.25","17,560.00","89.75","0.51",152238,"2,677,575,645.42","18,813.00","5,511.05","196.68","4.77"
"SBIN","461.90","464.00","454.25","457.90","460.05","2.15","0.47",16521128,"7,570,476,483.44","471.90","185.90","130.96","5.94"
"ADANIPORTS","739.70","747.00","733.50","736.15","738.75","2.60","0.35",2878232,"2,129,718,986.08","901.00","341.15","107.14","-1.31"
"BHARTIARTL","695.15","699.55","688.90","692.50","694.40","1.90","0.27",6297352,"4,378,926,686.72","745.54","390.10","63.57","1.36"
"ICICIBANK","706.00","710.00","698.30","702.20","704.05","1.85","0.26",9383924,"6,602,247,408.68","735.40","374.10","75.19","-2.34"
"HDFC","2,731.00","2,745.60","2,716.00","2,727.00","2,726.00","-1.00","-0.04",1719442,"4,693,543,632.98","2,896.00","1,906.85","38.98","-3.87"
"POWERGRID","189.00","190.15","187.00","188.30","188.10","-0.20","-0.11",6123882,"1,153,861,846.44","198.00","115.95","18.80","8.18"
"HDFCBANK","1,612.00","1,622.00","1,600.15","1,610.50","1,607.00","-3.50","-0.22",3622781,"5,839,959,199.81","1,641.00","1,137.60","29.92","2.17"
"BAJFINANCE","7,750.00","7,829.00","7,712.00","7,747.90","7,730.50","-17.40","-0.22",756571,"5,882,725,376.21","7,999.00","3,101.35","133.04","4.06"
"HDFCLIFE","729.00","731.45","720.30","725.35","721.90","-3.45","-0.48",1573419,"1,138,494,520.02","775.65","556.00","25.85","-2.07"
"KOTAKBANK","1,950.00","1,966.15","1,931.00","1,952.45","1,939.00","-13.45","-0.69",1937834,"3,768,854,589.92","2,077.80","1,301.25","46.71","6.52"
"SRTRANSFIN","1,343.20","1,353.40","1,323.45","1,343.20","1,331.00","-12.20","-0.91",465466,"623,072,787.60","1,534.95","626.30","107.60","-1.29"
"GAIL","161.30","162.90","157.65","159.65","158.05","-1.60","-1.00",11727250,"1,871,317,282.50","171.30","81.20","84.54","8.96"
"APOLLOHOSP","4,459.00","4,459.00","4,365.60","4,428.30","4,380.00","-48.30","-1.09",269607,"1,183,981,836.57","5,198.00","1,986.00","92.32","-7.21"
"ICICIGI","1,551.00","1,554.00","1,520.50","1,548.55","1,530.00","-18.55","-1.20",1293018,"1,985,765,323.68","1,675.00","1,200.00","22.59","-5.69"
"NTPC","143.55","143.90","140.30","142.80","140.95","-1.85","-1.30",10686586,"1,511,617,589.70","149.35","78.10","70.21","23.18"
"SBILIFE","1,224.95","1,229.00","1,191.95","1,215.05","1,196.65","-18.40","-1.51",1661548,"2,010,390,002.60","1,273.90","755.25","48.46","1.98"
"ADANIGREEN","1,219.80","1,220.00","1,152.05","1,205.65","1,183.05","-22.60","-1.87",174740,"208,000,011.60","1,390.00","660.00","72.02","-"
"ICICIPRULI","682.00","684.55","659.10","681.65","660.50","-21.15","-3.10",1516358,"1,008,271,924.94","724.30","398.20","53.68","-5.25"
